state,x,y
Alabama,130,-77
Alaska,-214,-170
Arizona,-195,-45
Arkansas,49,-53
California,-310,13
Colorado,-120,20
Connecticut,297,96
Delaware,275,42
Florida,210,-140
Georgia,175,-70
Hawaii,-317,-143
Idaho,-216,115
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-24,5
Kentucky,149,1
Louisiana,55,-110
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,23,135
Mississippi,90,-74
Missouri,49,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-135,-43
New York,236,104
North Carolina,230,-22
North Dakota,-50,158
Ohio,176,52
Oklahoma,-14,-41
Oregon,-282,134
Pennsylvania,228,70
Rhode Island,318,94
South Carolina,210,-58
South Dakota,-44,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,12
Washington,-265,193
West Virginia,194,22
Wisconsin,83,113
Wyoming,-134,90
